observation_month,manufacturing_pmi,non_manufacturing_pmi,availability_date
2019-05-01,49.4,54.3,2019-06-01
2019-06-01,49.4,54.2,2019-07-01
2019-07-01,49.7,53.7,2019-08-01
2019-08-01,49.5,53.8,2019-09-01
2019-09-01,49.8,53.7,2019-10-01
2019-10-01,49.3,52.8,2019-11-01
2019-11-01,50.2,54.4,2019-12-01
2019-12-01,50.2,53.5,2020-01-01
2020-01-01,50.0,54.1,2020-02-01
2020-02-01,35.7,29.6,2020-03-01
2020-03-01,52.0,52.3,2020-04-01
2020-04-01,50.8,53.2,2020-05-01
2020-05-01,50.6,53.6,2020-06-01
2020-06-01,50.9,54.4,2020-07-01
2020-07-01,51.1,54.2,2020-08-01
2020-08-01,51.0,55.2,2020-09-01
2020-09-01,51.5,55.9,2020-10-01
2020-10-01,51.4,56.2,2020-11-01
2020-11-01,52.1,56.4,2020-12-01
2020-12-01,51.9,55.7,2021-01-01
2021-01-01,51.3,52.4,2021-02-01
2021-02-01,50.6,51.4,2021-03-01
2021-03-01,51.9,56.3,2021-04-01
2021-04-01,51.1,54.9,2021-05-01
2021-05-01,51.0,55.2,2021-06-01
2021-06-01,50.9,53.5,2021-07-01
2021-07-01,50.4,53.3,2021-08-01
2021-08-01,50.1,47.5,2021-09-01
2021-09-01,49.6,53.2,2021-10-01
2021-10-01,49.2,52.4,2021-11-01
2021-11-01,50.1,52.3,2021-12-01
2021-12-01,50.3,52.7,2022-01-01
2022-01-01,50.1,51.1,2022-02-01
2022-02-01,50.2,51.6,2022-03-01
2022-03-01,49.5,48.4,2022-04-01
2022-04-01,47.4,41.9,2022-05-01
2022-05-01,49.6,47.8,2022-06-01
2022-06-01,50.2,54.7,2022-07-01
2022-07-01,49.0,53.8,2022-08-01
2022-08-01,49.4,52.6,2022-09-01
2022-09-01,50.1,50.6,2022-10-01
2022-10-01,49.2,48.7,2022-11-01
2022-11-01,48.0,46.7,2022-12-01
2022-12-01,47.0,41.6,2023-01-01
2023-01-01,50.1,54.4,2023-02-01
2023-02-01,52.6,56.3,2023-03-01
2023-03-01,51.9,58.2,2023-04-01
2023-04-01,49.2,56.4,2023-05-01
2023-05-01,48.8,54.5,2023-06-01
2023-06-01,49.0,53.2,2023-07-01
2023-07-01,49.3,51.5,2023-08-01
2023-08-01,49.7,51.0,2023-09-01
2023-09-01,50.2,51.7,2023-10-01
2023-10-01,49.5,50.6,2023-11-01
2023-11-01,49.4,50.2,2023-12-01
2023-12-01,49.0,50.4,2024-01-01
2024-01-01,49.2,50.7,2024-02-01
2024-02-01,49.1,51.4,2024-03-01
2024-03-01,50.8,53.0,2024-04-01
2024-04-01,50.4,51.2,2024-05-01
2024-05-01,49.5,51.1,2024-06-01
2024-06-01,49.5,50.5,2024-07-01
2024-07-01,49.4,50.2,2024-08-01
2024-08-01,49.1,50.3,2024-09-01
2024-09-01,49.8,50.0,2024-10-01
2024-10-01,50.1,50.2,2024-11-01
2024-11-01,50.3,50.0,2024-12-01
2024-12-01,50.1,52.2,2025-01-01
2025-01-01,49.1,50.2,2025-02-01
2025-02-01,50.2,50.4,2025-03-01
2025-03-01,50.5,50.8,2025-04-01
2025-04-01,49.0,50.4,2025-05-01
2025-05-01,49.5,50.3,2025-06-01
2025-06-01,49.7,50.5,2025-07-01
2025-07-01,49.3,50.1,2025-08-01
2025-08-01,49.4,50.3,2025-09-01
2025-09-01,49.8,50.0,2025-10-01
2025-10-01,49.0,50.1,2025-11-01
2025-11-01,49.2,49.5,2025-12-01
2025-12-01,50.1,50.2,2026-01-01
2026-01-01,49.3,49.4,2026-02-01
2026-02-01,49.0,49.5,2026-03-01
2026-03-01,50.4,50.1,2026-04-01
2026-04-01,50.3,49.4,2026-05-01
2026-05-01,50.0,50.1,2026-06-01
2026-06-01,50.3,50.2,2026-07-01
2026-07-01,49.2,49.0,2026-08-01
