observation_month,m2_yoy,m1_yoy,m1_m2_gap,availability_date
2021-01-01,9.4,14.7,5.299999999999999,2021-02-20
2021-02-01,10.1,7.4,-2.6999999999999993,2021-03-20
2021-03-01,9.4,7.1,-2.3000000000000007,2021-04-20
2021-04-01,8.1,6.2,-1.8999999999999995,2021-05-20
2021-05-01,8.3,6.1,-2.200000000000001,2021-06-20
2021-06-01,8.6,5.5,-3.0999999999999996,2021-07-20
2021-07-01,8.3,4.9,-3.4000000000000004,2021-08-20
2021-08-01,8.2,4.2,-3.999999999999999,2021-09-20
2021-09-01,8.3,3.7,-4.6000000000000005,2021-10-20
2021-10-01,8.7,2.8,-5.8999999999999995,2021-11-20
2021-11-01,8.5,3.0,-5.5,2021-12-20
2021-12-01,9.0,3.5,-5.5,2022-01-20
2022-01-01,9.8,-1.9,-11.700000000000001,2022-02-20
2022-02-01,9.2,4.7,-4.499999999999999,2022-03-20
2022-03-01,9.7,4.7,-4.999999999999999,2022-04-20
2022-04-01,10.5,5.1,-5.4,2022-05-20
2022-05-01,11.1,4.6,-6.5,2022-06-20
2022-06-01,11.4,5.8,-5.6000000000000005,2022-07-20
2022-07-01,12.0,6.7,-5.3,2022-08-20
2022-08-01,12.2,6.1,-6.1,2022-09-20
2022-09-01,12.1,6.4,-5.699999999999999,2022-10-20
2022-10-01,11.8,5.8,-6.000000000000001,2022-11-20
2022-11-01,12.4,4.6,-7.800000000000001,2022-12-20
2022-12-01,11.8,3.7,-8.100000000000001,2023-01-20
2023-01-01,12.6,6.7,-5.8999999999999995,2023-02-20
2023-02-01,12.9,5.8,-7.1000000000000005,2023-03-20
2023-03-01,12.7,5.1,-7.6,2023-04-20
2023-04-01,12.4,5.3,-7.1000000000000005,2023-05-20
2023-05-01,11.6,4.7,-6.8999999999999995,2023-06-20
2023-06-01,11.3,3.1,-8.200000000000001,2023-07-20
2023-07-01,10.7,2.3,-8.399999999999999,2023-08-20
2023-08-01,10.6,2.2,-8.399999999999999,2023-09-20
2023-09-01,10.3,2.1,-8.200000000000001,2023-10-20
2023-10-01,10.3,1.9,-8.4,2023-11-20
2023-11-01,10.0,1.3,-8.7,2023-12-20
2023-12-01,9.7,1.3,-8.399999999999999,2024-01-20
