rank,code,name,industry,pb_sel,pb_now,mcap_yi,ret_sel_pct,mom20_pct,mom60_pct,mom120_pct,px_vs_ma60_pct,px_vs_ma20_pct,dist_hi52w_pct,dist_lo52w_pct,avg_amt20d_yi,fin_period,fin_quarter,netprofit_yoy_pct,revenue_yoy_pct,roe_pct,netmargin_pct,debt_assets_pct,netprofit_yi,div_yield_pct,div_count
130,002761,浙江建投,工程建设,1.15,1.19,101.4,3.8,7.29,7.29,-10.32,7.5,4.76,-22.96,15.38,1.02,2026-06-30,2,49.3,-9.6,2.68,0.69,90.4,2.49,0.65,1
131,600461,洪城环境,公用事业,1.15,1.16,114.6,0.45,0.22,0.38,-6.42,-0.78,-0.13,-10.69,6.89,0.83,2026-06-30,2,-4.5,-7.8,5.71,17.1,55.6,5.81,5.24,1
132,603393,新天然气,燃气,1.15,1.16,112.8,1.33,4.35,-5.17,-36.85,7.79,5.5,-37.84,24.29,2.6,2026-06-30,2,-38.0,-6.6,4.12,20.26,47.6,3.86,,0
133,000550,江铃汽车,汽车整车,1.17,1.24,148.4,6.11,6.31,3.68,-3.97,3.91,5.53,-21.29,10.05,0.66,2026-06-30,2,0.8,7.0,6.12,3.82,63.4,7.39,3.23,1
134,002251,步步高,商业百货,1.17,1.2,102.2,2.15,3.83,-2.56,-17.03,4.05,1.69,-46.55,14.11,4.4,2026-06-30,2,-28.6,9.8,1.7,6.12,59.2,1.43,,0
135,300026,红日药业,中药,1.17,1.16,99.1,-1.2,-3.23,9.63,-8.33,0.16,-4.61,-22.9,13.79,3.26,2026-06-30,2,-0.7,-21.7,0.91,3.57,15.9,0.78,0.3,1
136,002267,陕天然气,燃气,1.18,1.19,81.5,0.41,3.53,6.08,-7.57,4.17,3.18,-17.08,12.08,0.59,2026-06-30,2,-20.7,-8.3,5.95,9.08,50.9,4.04,2.73,1
137,300772,运达股份,风电设备,1.18,1.14,72.9,-2.94,-26.1,-25.2,-55.84,-19.64,-16.13,-56.93,0.54,1.59,2026-06-30,2,-273.4,26.9,-3.2,-1.8,83.1,-2.49,0.65,1
138,601900,南方传媒,文化传媒,1.18,1.25,109.8,5.42,6.14,7.05,-10.88,6.96,4.69,-24.68,15.49,1.15,2026-06-30,2,5.3,-4.6,5.23,12.53,47.0,4.75,4.5,1
139,002081,金 螳 螂,装修装饰,1.19,1.0,137.6,-15.91,31.14,-3.18,47.57,14.75,-1.96,-34.01,69.28,19.17,2026-06-30,2,-14.1,-15.1,2.21,3.8,56.0,3.08,2.51,1
140,600596,新安股份,农药兽药,1.19,1.18,148.7,-0.36,-0.36,-22.94,-15.51,-9.36,1.39,-38.09,15.07,4.06,2026-06-30,2,268.0,6.3,2.02,2.97,38.8,2.54,0.91,1
141,601636,旗滨集团,玻璃玻纤,1.19,1.2,171.9,0.87,-5.22,-12.37,-13.35,-13.24,-2.11,-43.21,7.2,3.82,2026-06-30,2,-118.8,-2.4,-1.13,-2.32,57.4,-1.67,1.89,1
142,600395,盘江股份,煤炭行业,1.2,1.08,115.1,-9.76,7.85,-3.07,-12.56,7.0,-0.5,-15.32,17.54,2.46,2026-06-30,2,1344.5,-6.0,0.59,1.31,76.1,0.63,1.12,1
143,000650,仁和药业,中药,1.21,1.2,75.3,-1.47,-0.92,4.87,-9.12,0.2,-1.52,-20.06,7.82,1.31,2026-06-30,2,0.5,5.9,4.52,13.96,11.8,2.92,2.82,1
144,002588,史丹利,化肥行业,1.21,1.19,93.1,-1.46,-6.59,-5.61,-30.04,-4.11,-2.05,-30.04,5.35,1.45,2026-06-30,2,-10.3,8.5,6.95,7.85,40.3,5.44,3.9,2
145,600751,海航科技,航运港口,1.21,1.2,90.2,-0.64,-0.96,5.42,-20.35,2.07,-1.55,-38.27,13.5,0.86,2026-06-30,2,-37.2,35.4,0.6,4.91,24.2,0.45,0.58,1
146,002075,沙钢股份,钢铁行业,1.22,1.22,81.2,0.27,-6.57,7.71,-31.29,1.83,-0.55,-43.43,12.12,1.14,2026-06-30,2,-11.9,-1.9,2.07,2.05,56.5,1.37,1.35,2
147,301327,华宝新能,电源设备,1.22,1.23,75.2,1.36,-4.2,-15.28,-31.2,-5.33,-1.94,-43.92,3.08,0.56,2026-06-30,2,-91.5,34.7,0.17,0.47,19.7,0.1,,0
148,600057,厦门象屿,物流行业,1.22,1.22,185.1,0.0,4.49,11.22,-23.82,6.2,2.77,-26.99,20.3,1.11,2026-06-30,2,3.3,2.5,5.04,0.51,71.7,10.66,3.37,2
149,601033,永兴股份,环保行业,1.22,1.22,131.7,0.0,3.25,7.65,-6.31,3.36,1.54,-10.07,9.75,0.49,2026-06-30,2,13.2,9.1,4.76,23.19,56.2,5.22,4.31,1
150,000403,派林生物,生物制品,1.23,1.22,98.4,-0.67,-2.36,-11.16,-27.42,1.93,-3.05,-43.75,17.75,1.24,2026-06-30,2,-64.3,-15.9,1.04,10.16,17.7,0.84,,0
151,002243,力合科创,美容护理,1.23,1.21,89.3,-1.47,1.23,5.28,-25.53,4.62,-0.23,-37.72,18.46,0.83,2026-06-30,2,8.1,8.3,1.74,10.81,48.8,1.28,0.68,1
152,603202,天有为,汽车零部件,1.23,1.24,84.2,0.31,-0.74,-20.79,-41.11,-1.21,0.09,-47.86,7.06,0.46,2026-06-30,2,-44.5,-10.7,4.28,16.1,26.7,2.92,4.75,2
153,002045,国光电器,消费电子,1.25,1.24,51.4,-1.08,2.7,9.2,-28.71,9.92,3.56,-50.46,25.9,2.71,2026-06-30,2,-217.7,-15.6,-1.79,-2.32,61.8,-0.76,0.16,1
154,600480,凌云股份,汽车零部件,1.25,1.25,100.6,-0.6,-5.18,-14.09,-21.44,-5.25,-2.66,-43.39,1.86,0.95,2026-06-30,2,-29.7,4.5,3.69,3.14,50.3,3.04,4.86,2
155,002145,钛能化学,化学原料,1.26,1.24,162.9,-2.06,-4.68,2.64,-21.23,-4.96,-2.56,-29.41,2.64,1.68,2026-06-30,2,61.9,20.9,3.43,9.21,37.8,4.2,0.93,2
156,002204,大连重工,工程机械,1.26,1.24,99.9,-0.96,-3.36,-5.59,-27.95,-2.47,-1.44,-35.66,2.58,0.89,2026-06-30,2,18.8,7.6,4.68,4.62,71.1,3.71,1.84,1
157,600361,创新新材,有色金属,1.26,1.22,135.5,-3.2,-2.68,-6.76,-23.13,-1.57,-1.59,-26.91,5.83,1.59,2026-06-30,2,11.7,11.2,3.59,0.91,61.4,3.96,2.42,1
158,600888,新疆众和,有色金属,1.26,1.18,153.3,-5.82,-1.99,-10.35,5.34,-11.53,-3.5,-38.77,37.74,5.49,2026-06-30,2,33.6,2.0,4.32,12.79,43.8,5.23,1.32,1
159,688567,孚能科技,电池,1.27,1.24,110.2,-2.28,-11.66,-16.09,-36.21,-9.29,-6.87,-58.3,1.23,0.95,2026-06-30,2,-145.1,-16.9,-4.38,-10.98,58.7,-3.97,,0
