symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
002432,九安医疗,11,8,0.0010166545342826289,0.5454545454545454,0.006393780130632558,-0.0054358961813372846,1.176214540775064,0.010936274323044115,10,1
002643,万润股份,11,6,0.001004463020048691,0.5454545454545454,0.00660139805217641,-0.0057118590185045726,1.1557354673478493,0.010807031911793663,10,1
002422,科伦药业,7,4,0.0015799853708868827,0.5714285714285714,0.008133160411919194,-0.007157581350489532,1.1363001010617837,0.010806718248953073,7,0
603019,中科曙光,15,9,0.0007069248119052111,0.4,0.00478535233059485,-0.002012026867221214,2.378373971319698,0.010522353291768649,14,1
300259,新天科技,7,5,0.0015520476723983917,0.42857142857142855,0.012150893365112695,-0.006397086597137335,1.8994417506478902,0.010459097112043292,7,0
300638,广和通,12,10,0.0009046096438265668,0.3333333333333333,0.010552726349907726,-0.003919448709214012,2.6924006748959144,0.01042267864792823,11,1
688332,中科蓝讯,11,8,0.001069763261064752,0.5454545454545454,0.012822649452463622,-0.013033700168613892,0.9838073061816708,0.010227496974429595,10,1
300708,聚灿光电,4,3,0.002573322638019238,0.75,0.0065388929701638565,-0.00932338835841462,0.7013429794825957,0.010212044994932556,3,1
600580,卧龙电驱,11,8,0.0009431761364789849,0.5454545454545454,0.006674402329920374,-0.005934295295650682,1.1247169204424536,0.010058124130595925,11,0
603087,甘李药业,14,11,0.0007680594542754625,0.5,0.009071882948928356,-0.007535764040377431,1.20384381733826,0.010036315235981697,14,0
688516,奥特维,12,9,0.0008567602859774022,0.4166666666666667,0.00868903093183968,-0.004737718746781369,1.8340115562458594,0.0099749084389118,11,1
002185,华天科技,3,2,0.003339510128821832,0.3333333333333333,0.013500045776367098,-0.0017407576949508,7.755269912363453,0.009974044785292069,3,0
603166,福达股份,3,2,0.003272107376030934,0.6666666666666666,0.008555629388894315,-0.007294936649695826,1.1728175033913495,0.009753655948855133,3,0
001369,双欣材料,5,4,0.0019295377579212631,0.8,0.0031686744370058037,-0.0030270089584168982,1.046800482104617,0.009658631078785396,5,0
300693,盛弘股份,10,6,0.0009472998077134094,0.6,0.003633215211594395,-0.0030815732981080693,1.179013075504323,0.009420238640318157,9,1
002937,兴瑞科技,3,2,0.0031009233626182104,0.6666666666666666,0.006319045889721099,-0.0033353216915875663,1.89458363361446,0.009299995254689497,3,0
601601,中国太保,16,11,0.0006138816215982418,0.375,0.010254111580297468,-0.005170256353621294,1.98328881180435,0.009283831013564336,16,0
688002,睿创微纳,4,4,0.002419518241192603,0.75,0.010289056889538814,-0.021189097703846027,0.48558258748654737,0.009280154768323445,4,0
600770,综艺股份,4,4,0.0022908567302970537,0.75,0.0049776199516377755,-0.005769432933725115,0.8627572256783138,0.009109902793947633,4,0
000617,中油资本,11,6,0.0008348706799516842,0.5454545454545454,0.005430269225443578,-0.004679607574638588,1.1604112393682848,0.008996434182794388,10,1
300969,恒帅股份,5,4,0.0018049036050067138,0.6,0.006465872724429149,-0.005186550074126939,1.2466615827511431,0.008958869467537767,5,0
600410,华胜天成,2,2,0.0044061678899007806,1,0.0044061678899007806,,,0.008817787313865066,2,0
000582,北部湾港,10,6,0.0009079711809531048,0.4,0.009397411755980745,-0.004751655869065323,1.977713036240831,0.00878551454459986,9,1
300219,鸿利智汇,5,3,0.001768637022516195,0.6,0.00623906448987388,-0.004937004178520332,1.2637349016268784,0.00876277529304792,5,0
603606,东方电缆,11,9,0.0008212826278383264,0.2727272727272727,0.0119357540785624,-0.0033466441661832015,3.566484360413779,0.008715356103578431,10,1
300100,双林股份,8,7,0.0011366522288988046,0.5,0.009693589985769246,-0.007420285527971637,1.30636347472454,0.008627712415752997,8,0
002756,永兴材料,11,7,0.0008094801694995552,0.45454545454545453,0.009729781844211183,-0.006624104559426802,1.4688448464124368,0.008481802620719625,11,0
003022,联泓新科,4,3,0.00212470810683399,0.5,0.006789794564092789,-0.002540378350424809,2.672749341828307,0.008475552442893441,4,0
002736,国信证券,9,6,0.0009443184680548232,0.4444444444444444,0.005806876515336845,-0.0029457279697707945,1.9712874287535367,0.008414497383813169,9,0
002648,卫星化学,15,9,0.0006898763860209309,0.26666666666666666,0.017119426856282982,-0.0052845056031652704,3.2395512734491048,0.008291277370761962,15,0
000738,航发控制,7,5,0.0011688690173878391,0.7142857142857143,0.0025578049831918256,-0.0023034708971221276,1.110413414116694,0.00818386153986772,6,1
002966,苏州银行,5,4,0.0016389863948234947,0.4,0.007000990582683886,-0.0019356830637500997,3.6168062395093243,0.008158994712345935,5,0
002457,青龙管业,1,1,0.008138403793183646,1,0.008138403793183646,,,0.008138403793183535,1,0
300913,兆龙互连,4,3,0.0020299031376951326,0.5,0.006986446302477356,-0.00292664002708709,2.3871901695511992,0.008085151452792427,4,0
300115,长盈精密,10,9,0.0008807681088912278,0.5,0.011689339122812625,-0.00992780290503017,1.177434648394352,0.008034159841722177,10,0
603288,海天味业,9,7,0.0008868361049365375,0.6666666666666666,0.0036985046446750274,-0.0047365009745404425,0.7808516591794586,0.007905694640673477,9,0
300566,激智科技,10,7,0.0008352660937257398,0.6,0.008259860626062506,-0.01030162570477941,0.801801663423897,0.007794080356686495,10,0
002860,星帅尔,2,2,0.003855020607639759,0.5,0.009909109404592775,-0.002199068189313257,4.506049176986764,0.007688250408003583,2,0
600985,淮北矿业,14,12,0.0005870464366477696,0.5,0.008001035288271832,-0.006826942414976294,1.1719793140073842,0.007557939723112694,13,1
600026,中远海能,6,4,0.0012713231036882342,0.3333333333333333,0.009797199687959113,-0.0029916151884472044,3.2748863309001788,0.007518084549946069,6,0
001314,亿道信息,2,1,0.0037321453463414764,1,0.0037321453463414764,,,0.007478144099336781,2,0
603225,新凤鸣,11,6,0.0007134984810778643,0.36363636363636365,0.01287979503216452,-0.00623867097668594,2.064509425211975,0.007213296492455168,9,2
688775,影石创新,12,10,0.0006114745323586216,0.5833333333333334,0.004619396312480651,-0.00499961595981222,0.9239502293000422,0.0071175308776958435,11,1
600188,兖矿能源,19,13,0.0003966036539121192,0.5789473684210527,0.0044130316603665405,-0.005125984854962712,0.8609139092742486,0.007112149610345009,18,1
300726,宏达电子,6,4,0.0012072609440173527,0.8333333333333334,0.00562034866722907,-0.020858177672041234,0.2694554028448377,0.006933502250455081,6,0
002352,顺丰控股,7,6,0.0010085322641526508,0.2857142857142857,0.011588867125062463,-0.0032236016802112744,3.595005920304313,0.006837091957191177,7,0
601166,兴业银行,3,2,0.0022817073137773782,0.6666666666666666,0.006741061048454511,-0.006637000155576888,1.01567890469163,0.0067778784982956974,3,0
600930,XD华电新,6,4,0.001126858604647619,0.6666666666666666,0.0027121956378855514,-0.002043815461828246,1.3270256970555563,0.006762303936740599,6,0
603031,安孚科技,12,7,0.0005995438926320596,0.5,0.008224056168194918,-0.0070249683829308,1.17068942092005,0.006681680214061014,11,1
002821,凯莱英,17,11,0.00045231936411787844,0.4117647058823529,0.010927453897372565,-0.006880274809160402,1.588229278694471,0.006520359016846555,16,1
301317,鑫磊股份,1,1,0.006389956477662052,1,0.006389956477662052,,,0.006389956477662162,0,1
688386,泛亚微透,5,2,0.0013321688550397282,0.8,0.007244303123311313,-0.02231636821804661,0.3246183721530931,0.006289138151591045,5,0
000756,新华制药,1,1,0.006255977009151593,1,0.006255977009151593,,,0.006255977009151703,1,0
600862,中航高科,13,10,0.0004993904846488656,0.3076923076923077,0.00976037265691121,-0.003616601591912176,2.698769109303712,0.006189676402831301,13,0
301219,腾远钴业,17,9,0.0003878027705561608,0.47058823529411764,0.007397895837887498,-0.005843391067071694,1.2660278514603702,0.005983599132369566,17,0
000811,冰轮环境,1,1,0.005962154467352155,1,0.005962154467352155,,,0.005962154467352265,1,0
002458,益生股份,3,2,0.002003582080445599,0.6666666666666666,0.00761821957283193,-0.009225692904327065,0.8257612356963245,0.005927313918732358,2,1
601818,光大银行,1,1,0.005849308357518069,1,0.005849308357518069,,,0.005849308357518179,1,0
000981,山子高科,7,5,0.0008450494554581427,0.5714285714285714,0.004728834162865959,-0.004333330154418946,1.0912702227509008,0.0058177847130027605,6,1
301099,雅创电子,1,1,0.005813605725078498,1,0.005813605725078498,,,0.005813605725078608,1,0
002568,百润股份,13,11,0.00047452910244273085,0.38461538461538464,0.008488148624552294,-0.004533983098875746,1.872117394230479,0.0057513312011390205,11,2
301603,乔锋智能,6,4,0.0009917521513968343,0.3333333333333333,0.012485414765543101,-0.0047550791556763,2.6257007205944904,0.005717548812655959,6,0
600763,通策医疗,2,1,0.0028225730035587046,1,0.0028225730035587046,,,0.0056519678777327,2,0
000001,平安银行,2,2,0.0028178611211995283,1,0.0028178611211995283,,,0.005642796762390878,2,0
601901,方正证券,8,3,0.0007080944370196082,0.625,0.0026027222143268475,-0.0024496185251591243,1.0625010333630531,0.005641839926793235,8,0
002560,通达股份,3,2,0.0018654701417308488,1,0.0018654701417308488,,,0.005604639671775713,3,0
601020,华钰矿业,13,9,0.00045451864149643074,0.46153846153846156,0.008357921221088324,-0.006319826426725191,1.3224922105050965,0.005422308439391177,13,0
000922,佳电股份,8,7,0.0007445637146400315,0.25,0.016896734005548253,-0.004639493048996042,3.6419354069739587,0.005389625345199045,8,0
603626,科森科技,4,2,0.0013341337340386792,0.75,0.0032000642575810896,-0.004263657836588552,0.7505443401484423,0.005315096205120051,3,1
688123,聚辰股份,2,1,0.0026329339161211837,0.5,0.006556706954709336,-0.0012908391224669682,5.079414499134936,0.005257404178390823,2,0
600699,均胜电子,12,9,0.00045790299739766586,0.4166666666666667,0.006926749554725942,-0.004162701686408247,1.664003350838871,0.005206975097218569,12,0
002237,恒邦股份,18,13,0.0003264825046152062,0.4444444444444444,0.008695712749449414,-0.00636890169125216,1.3653394527023686,0.005189538170384811,16,2
002074,国轩高科,14,9,0.00038236683429907387,0.5,0.004919922511824175,-0.004155188843226029,1.184043059762458,0.0051641171435306,13,1
002156,通富微电,5,3,0.001038714514158934,0.6,0.006172977717239643,-0.006662680290462131,0.9265006646163835,0.005093871593763399,5,0
002414,高德红外,3,3,0.0016516757260961476,1,0.0016516757260961476,,,0.00496242120717838,3,0
600961,株冶集团,10,7,0.0005087458821454563,0.4,0.007619417504124204,-0.004231701865840376,1.800556311783335,0.004875803801322576,9,1
601126,四方股份,4,3,0.0013063774150622045,0.5,0.014507818840758357,-0.011895064010633949,1.2196503379711667,0.004807906683886198,4,0
002396,星网锐捷,2,2,0.0023556029368838613,1,0.0023556029368838613,,,0.004716724945628803,2,0
688551,科威尔,1,1,0.0046770772424930005,1,0.0046770772424930005,,,0.004677077242493111,1,0
300142,沃森生物,5,3,0.000994790198244755,0.2,0.021895156609311628,-0.004230301404521963,5.175791158972004,0.004675564093491902,4,1
000999,华润三九,2,1,0.002303251210389657,1,0.002303251210389657,,,0.00461177604622387,2,0
000975,山金国际,16,10,0.0003045324063977386,0.5,0.0052709021803500344,-0.004661837367554558,1.1306490906427675,0.004558249787926627,14,2
002028,思源电气,10,5,0.00046657832652102803,0.5,0.006488994830577455,-0.005555838177535398,1.167959653111425,0.0044230284312987145,8,2
600839,四川长虹,13,9,0.0003770698825615191,0.3076923076923077,0.008558683379803866,-0.0032592027828795243,2.6260051767144788,0.004408654169065107,11,2
002734,利民股份,8,5,0.0005586357981171303,0.625,0.00463386109547097,-0.006233406364139271,0.7433914660416703,0.004305613269854902,7,1
603156,养元饮品,14,10,0.00035482601088330113,0.35714285714285715,0.009952803398716025,-0.004977383649023769,1.999605435411454,0.00424774357930513,14,0
600736,苏州高新,9,8,0.0005265633479455666,0.4444444444444444,0.009054981601481993,-0.006296171254883576,1.438172698123255,0.0042147762079716156,9,0
002273,水晶光电,10,8,0.0004316068154047948,0.6,0.004126266303179656,-0.0051103824162574965,0.8074280879749618,0.004192355141529935,6,4
300592,华凯易佰,2,2,0.0020836657132388145,1,0.0020836657132388145,,,0.004171531328696743,2,0
000700,模塑科技,6,4,0.0007885867435742563,0.5,0.013619363724918565,-0.012042190237770053,1.1309706503557586,0.0041685123884926956,6,0
688676,金盘科技,10,9,0.0004155918726488359,0.6,0.0027629109963327094,-0.003105386812876975,0.8897155693699298,0.004099433254995732,9,1
605018,长华集团,3,2,0.0013816905530320191,0.3333333333333333,0.009598057753101519,-0.0027264930470027307,3.5202942342555352,0.0040972293097505386,3,0
600276,恒瑞医药,13,9,0.00036605436049846473,0.38461538461538464,0.011009057695205571,-0.006285822723693477,1.7514107825072063,0.004073502650808303,12,1
600905,三峡能源,4,4,0.0010108086514531997,0.75,0.0016810782019375996,-0.001,1.6810782019375996,0.004046665245579728,4,0
600016,民生银行,2,1,0.0018901706222559387,0.5,0.004780341244511877,-0.001,4.780341244511877,0.003775560903267472,2,0
002001,新 和 成,16,10,0.0002685658122331058,0.4375,0.00725238480307019,-0.005163293402862405,1.404604433102648,0.0037647691248896553,14,2
