symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
300035,中科电气,3,3,-0.0027987324455082106,0.3333333333333333,0.000368956757951123,-0.004382577047237878,0.08418716978031413,-0.008387409246716104,3,0
601868,中国能建,1,1,-0.008407400212333771,0,,-0.008407400212333771,,-0.008407400212333771,1,0
301127,武汉天源,1,1,-0.008418379012070765,0,,-0.008418379012070765,,-0.008418379012070765,1,0
002841,视源股份,2,2,-0.004218019736240585,0,,-0.004218019736240585,,-0.008421683256274903,2,0
300913,兆龙互连,1,1,-0.008450840349953248,0,,-0.008450840349953248,,-0.008450840349953248,1,0
688726,拉普拉斯,3,3,-0.0027814869551092323,0.3333333333333333,0.008970510221149586,-0.008657485543238641,1.0361565348677264,-0.008464073270801786,3,0
301607,富特科技,3,3,-0.0028253712122657446,0.3333333333333333,0.004059391697187721,-0.006267752666992477,0.6476630321686868,-0.008497525929137328,3,0
000875,电投绿能,1,1,-0.008504683381911682,0,,-0.008504683381911682,,-0.008504683381911682,1,0
601677,明泰铝业,3,3,-0.002851865549165684,0.3333333333333333,0.006728957816523385,-0.0076422772320102195,0.8804911955220192,-0.0086174718233063,2,1
600428,中远海特,4,4,-0.002189497463600503,0.25,0.002849851831692508,-0.003869280562031506,0.7365327445255707,-0.008752742861481422,4,0
688786,悦安新材,1,1,-0.008794454119808615,0,,-0.008794454119808615,,-0.008794454119808615,1,0
301358,湖南裕能,1,1,-0.008812526609215943,0,,-0.008812526609215943,,-0.008812526609215943,1,0
603290,斯达半导,1,1,-0.008824954349989311,0,,-0.008824954349989311,,-0.008824954349989311,1,0
600096,云天化,2,2,-0.0044637211293803705,0,,-0.0044637211293803705,,-0.008909053540349876,2,0
600895,张江高科,5,5,-0.0017811325705447516,0.4,0.00394078335095538,-0.005595743184878173,0.7042466426273593,-0.008952186875681445,5,0
000682,东方电子,2,2,-0.004490783437605505,0,,-0.004490783437605505,,-0.008964955265407526,2,0
300684,中石科技,2,2,-0.004472694772885977,0.5,0.0035654457313188956,-0.012510835277090848,0.284988624048767,-0.008989996250005738,1,1
301413,安培龙,2,2,-0.00443962672389453,0.5,0.008852188227349678,-0.017731441675138737,0.49923680147008775,-0.009036215507039591,2,0
000600,建投能源,1,1,-0.009040193491417048,0,,-0.009040193491417048,,-0.009040193491417048,1,0
688049,炬芯科技,2,2,-0.004527607751157791,0,,-0.004527607751157791,,-0.009043041648376327,2,0
