instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
892,SZ,000848,承德露露,食品饮料,2000-01-04,11.77,12.31,11.72,12.23,11.79,1150681,14009411.7,1.648961,2825130000,853436306,33.047881,7.393882,4.136558,3.11,2000
893,SZ,000850,华茂股份,纺织服装,2000-01-04,10.54,10.8,10.4,10.65,10.7,592967,6328456.89,1.187597,1810500000,531754500,36.791893,4.00923,3.379939,1.22,2000
894,SZ,000851,*ST高鸿,通信设备,2000-01-04,7.8,8.05,7.62,7.91,7.8,1128978,8839578.89,2.50884,1368430000,355950000,334.183365,3.690552,8.800165,0.55,2000
895,SZ,000852,石化机械,专用设备,2000-01-04,10.7,10.72,10.48,10.66,10.46,228464,2425711.02,0.457708,2132000000,532091768,25.662733,4.069424,8.54713,2.03,2000
896,SZ,000856,冀东装备,专用设备,2000-01-04,8.15,8.35,8.06,8.33,8.15,419982,3448038.58,0.840082,1332800000,416441690,32.936846,3.387652,3.374621,1.7,2000
898,SZ,000859,国风新材,塑料制品,2000-01-04,10.08,10.5,9.86,10.36,10.08,401565,4087763.1,0.669977,1864800000,620948356,33.007014,3.547474,5.041307,1.64,2000
899,SZ,000860,顺鑫农业,酿酒行业,2000-01-04,9.1,9.5,8.9,9.35,9.05,314230,2891600.72,0.449516,2618000000,653602400,29.618316,3.416515,3.570721,1.82,2000
900,SZ,000861,海印股份,商业百货,2000-01-04,14.18,14.43,14.18,14.42,14.07,113320,1620051.34,0.697354,937300000,234325000,54.231769,6.157576,6.869738,1.66,2000
901,SZ,000862,银星能源,电力行业,2000-01-04,10.93,11.4,10.9,11.26,10.93,951976,10670479.82,1.058783,2138274000,1012411935,36.516133,4.582147,16.219517,1.43,2000
902,SZ,000863,三湘印象,房地产开发,2000-01-04,18.42,19.5,18.42,19.15,18.4,968293,18533306.36,4.980839,1298564008.65,372282894,73.189325,8.996216,15.959113,2.03,2000
903,SZ,000866,扬子石化,石油行业,2000-01-04,3.81,3.87,3.79,3.85,3.79,918411,3518542.41,0.262426,8970500000,1347381843.5,31.26377,1.896023,0,1.61,2000
904,SZ,000868,安凯客车,汽车整车,2000-01-04,7.85,7.98,7.75,7.93,7.82,301261,2371449.98,0.386232,1348100000,618540000,28.715885,2.712202,2.028346,0.9,2000
908,SZ,000877,天山股份,水泥建材,2000-01-04,12.05,12.28,11.82,12.17,11.93,232266,2807548.18,0.465856,1575528200,606770411.77,38.242397,3.764713,8.319113,1.18,2000
909,SZ,000878,云南铜业,有色金属,2000-01-04,8.4,8.55,8.35,8.54,8.35,1335541,11303602.04,0.61861,6241032000,1843733052,64.372649,4.548801,3.234674,0.51,2000
910,SZ,000880,潍柴重机,通用设备,2000-01-04,17.2,17.72,17.18,17.6,17.4,158301,2766303.38,0.633204,1518677600,440000000,60.101914,3.52914,1.204532,1.59,2000
911,SZ,000881,中广核技,化学制品,2000-01-04,27.38,28.12,27.36,27.96,27.32,1236933,34561539.07,3.534094,2668222800,978600000,63.598599,6.617904,5.965998,1.9,2000
912,SZ,000882,华联股份,商业百货,2000-01-04,8.33,8.6,8.2,8.55,8.28,304199,2575829.63,0.676885,1521900000,384245550,43.953886,4.281783,44.014314,2.07,2000
913,SZ,000883,湖北能源,电力行业,2000-01-04,10.14,10.49,10.14,10.49,10.3,214929,2228242.09,0.39078,2061788520,576950000,26.122253,2.901756,2.119021,0.86,2000
914,SZ,000885,城发环境,环保行业,2000-01-04,12,12.32,11.98,12.24,12.1,341124,4154793.7,0.56854,1958400000,734400000,46.627891,3.113996,3.903985,0.64,2000
915,SZ,000886,海南高速,铁路公路,2000-01-04,6.8,7.28,6.75,7.2,6.8,1277838,9112815.26,0.829765,7119563760,1108800000,37.620773,2.74844,24.535298,3.88,2000
916,SZ,000887,中鼎股份,汽车零部件,2000-01-04,9.44,9.8,9.01,9.71,9.41,2525445,23829556.77,3.6113,2718800000,679037292.5,46.562134,5.307242,3.009546,2.28,2000
917,SZ,000888,峨眉山Ａ,旅游酒店,2000-01-04,12.18,12.5,12.15,12.4,12.15,198460,2453978.9,0.497309,1471384000,494844320,42.992882,3.703271,14.741213,2.09,2000
918,SZ,000889,中嘉博创,通信服务,2000-01-04,13.94,15.05,13.8,15.03,13.95,2026923,29834136.64,3.753561,2977292684.97,811620000,278.349887,10.803586,10.884203,3.94,2000
919,SZ,000890,法尔胜,通用设备,2000-01-04,13.39,13.9,13.39,13.84,13.39,315830,4328207.8,0.526383,1992960000,830400000,27.679512,3.582901,5.275934,2.53,2000
