signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2024-02-01,2024-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5006185412649233,0.5013813255038198
2024-02-01,2024-01-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.09187369603206341,0.094192138822888
2024-02-01,2024-01-01,REWEIGHT,801960,石油石化,3,3,0.2,0.2,0.19230654755254822,0.19754590835939242
2024-02-01,2024-01-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.1322870391081593,0.13293143952638123
2024-03-01,2024-02-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5013813255038198,0.4898996428736506
2024-03-01,2024-02-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.19754590835939242,0.21442077457397563
2024-03-01,2024-02-01,REWEIGHT,801950,煤炭,2,3,0.2,0.2,0.094192138822888,0.08964410665116936
2024-03-01,2024-02-01,REWEIGHT,801110,家用电器,4,4,0.2,0.2,0.07394918778751856,0.07430313973090569
2024-03-01,2024-02-01,REWEIGHT,801170,交通运输,5,5,0.2,0.2,0.13293143952638123,0.1317323361702987
2024-04-01,2024-03-01,ADD,801770,通信,,5,0,0.2,0,0.1741317304055339
2024-04-01,2024-03-01,REMOVE,801170,交通运输,5,,0.2,0,0.1317323361702987,0
2024-04-01,2024-03-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4898996428736506,0.46772792632832344
2024-04-01,2024-03-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.21442077457397563,0.20074567600927637
2024-04-01,2024-03-01,REWEIGHT,801950,煤炭,3,3,0.2,0.2,0.08964410665116936,0.08322998766889166
2024-04-01,2024-03-01,REWEIGHT,801110,家用电器,4,4,0.2,0.2,0.07430313973090569,0.0741646795879747
2024-05-01,2024-04-01,ADD,801170,交通运输,,4,0,0.2,0,0.13243906597651334
2024-05-01,2024-04-01,REMOVE,801770,通信,5,,0.2,0,0.1741317304055339,0
2024-05-01,2024-04-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.46772792632832344,0.49299156189277454
2024-05-01,2024-04-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.20074567600927637,0.20724852509172714
2024-05-01,2024-04-01,REWEIGHT,801950,煤炭,3,3,0.2,0.2,0.08322998766889166,0.0925971572331604
2024-05-01,2024-04-01,REWEIGHT,801110,家用电器,4,5,0.2,0.2,0.0741646795879747,0.07472368980582454
2024-06-01,2024-05-01,ADD,801160,公用事业,,5,0,0.2,0,0.14130897089802083
2024-06-01,2024-05-01,REMOVE,801110,家用电器,5,,0.2,0,0.07472368980582454,0
2024-06-01,2024-05-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.49299156189277454,0.4593575067750819
2024-06-01,2024-05-01,REWEIGHT,801950,煤炭,3,2,0.2,0.2,0.0925971572331604,0.08307663338567779
2024-06-01,2024-05-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.20724852509172714,0.19685987971080596
