tradeDate,symbol,name,level1Code,level1Name,dynamicBenchmarkWeightPct,dynamicTargetWeightPct,dynamicActiveWeightPct,absoluteActiveWeightPct
2026-07-01,002714,牧原股份,110000,农林牧渔,0.3580230199277815,0.2973519315482111,-0.060671088379570415,0.060671088379570415
2026-07-01,600900,长江电力,410000,公用事业,1.156574586085393,1.0969023184610418,-0.059672267624351294,0.059672267624351294
2026-07-01,600089,特变电工,630000,电力设备,0.3987163856004945,0.45788182370561326,0.05916543810511876,0.05916543810511876
2026-07-01,601668,中国建筑,620000,建筑装饰,0.3229263701610095,0.38087552432724314,0.05794915416623364,0.05794915416623364
2026-07-01,601166,兴业银行,480000,银行,1.003720191590955,0.9460975148606703,-0.05762267673028476,0.05762267673028476
2026-07-01,300476,胜宏科技,270000,电子,0.7146651910158757,0.6576091463879986,-0.057056044627877056,0.057056044627877056
2026-07-01,603993,洛阳钼业,240000,有色金属,0.5543111809634029,0.498581744032631,-0.055729436930771925,0.055729436930771925
2026-07-01,688008,澜起科技,270000,电子,1.2740136957686048,1.219237480960481,-0.05477621480812389,0.05477621480812389
2026-07-01,600160,巨化股份,220000,基础化工,0.26672442403092606,0.21266151676146028,-0.054062907269465776,0.054062907269465776
2026-07-01,002837,英维克,640000,机械设备,0.20245758704924977,0.14847329043764637,-0.053984296611603394,0.053984296611603394
2026-07-01,601006,大秦铁路,420000,交通运输,0.19406804236386213,0.24737696672489173,0.0533089243610296,0.0533089243610296
2026-07-01,600938,中国海油,750000,石油石化,0.22990016269007363,0.28291059027170146,0.05301042758162783,0.05301042758162783
2026-07-01,601919,中远海控,420000,交通运输,0.2934047586810279,0.34567796599322814,0.052273207312200254,0.052273207312200254
2026-07-01,603259,药明康德,370000,医药生物,1.1112774096010294,1.1633917904616458,0.05211438086061637,0.05211438086061637
2026-07-01,688981,中芯国际,270000,电子,1.1060080109191182,1.054956649793924,-0.05105136112519415,0.05105136112519415
2026-07-01,002594,比亚迪,280000,汽车,0.7752389715953253,0.825676094890618,0.05043712329529271,0.05043712329529271
2026-07-01,688041,海光信息,270000,电子,1.1600643770847718,1.1128159629359167,-0.04724841414885517,0.04724841414885517
2026-07-01,002475,立讯精密,270000,电子,1.1979722948277098,1.2448076387712876,0.0468353439435778,0.0468353439435778
2026-07-01,601816,京沪高铁,420000,交通运输,0.47327184036623965,0.5193254259569378,0.04605358559069811,0.04605358559069811
2026-07-01,000858,五 粮 液,340000,食品饮料,0.513764211454472,0.5595139062976104,0.0457496948431384,0.0457496948431384
2026-07-01,000988,华工科技,640000,机械设备,0.6203060588215897,0.576692896744777,-0.04361316207681276,0.04361316207681276
