strategy,tradeDate,count,grossReturn,grossTradedNotional,oneWayTurnover,cost,netReturn
仅盈利,2024-10-15,100,0.051255523985332764,0.02,0.01,3e-05,0.05122552398533276
仅盈利,2024-10-22,100,0.012658615081649338,0.04,0.02,6e-05,0.012598615081649339
仅盈利,2024-10-29,100,0.04029972973149229,0.28,0.14,0.00042000000000000007,0.03987972973149229
仅盈利,2024-11-05,100,0.04221044124877429,0.3,0.15,0.00045,0.04176044124877429
仅盈利,2024-11-12,100,-0.04103515640787263,0.06,0.03,8.999999999999999e-05,-0.04112515640787263
仅盈利,2024-11-19,100,-0.01009116371541502,0.04,0.02,6e-05,-0.01015116371541502
仅盈利,2024-11-26,100,0.05196733734734813,0.04,0.02,6e-05,0.051907337347348134
仅盈利,2024-12-03,100,0.014543041482391732,0.02,0.01,3e-05,0.014513041482391732
仅盈利,2024-12-10,100,-0.0200083212977668,0.02,0.01,3e-05,-0.0200383212977668
仅盈利,2024-12-17,100,-0.006069843079435179,0.02,0.01,3e-05,-0.006099843079435179
仅盈利,2024-12-24,100,-0.026700185472759513,0.08,0.04,0.00012,-0.026820185472759512
仅盈利,2024-12-31,100,-0.045284247719798394,0.08,0.04,0.00012,-0.045404247719798396
仅盈利,2025-01-08,100,0.011080693859076477,0.06,0.03,8.999999999999999e-05,0.010990693859076478
仅盈利,2025-01-15,100,0.0042903949156671214,0.02,0.01,3e-05,0.004260394915667122
仅盈利,2025-01-22,100,0.028046534607223342,0.04,0.02,6e-05,0.02798653460722334
仅盈利,2025-02-06,100,0.0157552402757138,0.04,0.02,6e-05,0.015695240275713798
仅盈利,2025-02-13,100,0.025478906702223823,0.02,0.01,3e-05,0.025448906702223825
仅盈利,2025-02-20,100,0.010753908539922849,0.02,0.01,3e-05,0.010723908539922848
仅盈利,2025-02-27,100,0.008411258542812975,0.02,0.01,3e-05,0.008381258542812974
仅盈利,2025-03-06,100,0.00046477065188248125,0.02,0.01,3e-05,0.0004347706518824812
仅盈利,2025-03-13,100,0.015072541934897743,0.06,0.03,8.999999999999999e-05,0.014982541934897743
仅盈利,2025-03-20,100,-0.021176010889517368,0.08,0.04,0.00012,-0.021296010889517367
仅盈利,2025-03-27,100,-0.013974457478892272,0.12,0.06,0.00017999999999999998,-0.014154457478892272
仅盈利,2025-04-03,100,-0.058134238808631764,0.24,0.12,0.00035999999999999997,-0.05849423880863176
仅盈利,2025-04-11,100,0.0007799281787268875,0.1,0.05,0.00015000000000000001,0.0006299281787268875
