signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2024-06-01,2024-05-01,REWEIGHT,801950,煤炭,3,2,0.2,0.2,0.0925971572331604,0.08307663338567779
2024-06-01,2024-05-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.2072485250917272,0.1968598797108059
2024-06-01,2024-05-01,REWEIGHT,801170,交通运输,4,4,0.2,0.2,0.1324390659765133,0.11939700923041356
2024-07-01,2024-06-01,ADD,801720,建筑装饰,,3,0,0.2,0,0.06784789111080977
2024-07-01,2024-06-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4593575067750819,0.4782718446000221
2024-07-01,2024-06-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.1968598797108059,0.18588537740824454
2024-07-01,2024-06-01,REWEIGHT,801170,交通运输,4,4,0.2,0.2,0.11939700923041356,0.1244407618323712
2024-07-01,2024-06-01,REWEIGHT,801160,公用事业,5,5,0.2,0.2,0.14130897089802083,0.14355412504855258
2024-08-01,2024-07-01,ADD,801790,非银金融,,3,0,0.2,0,0.19621394257107794
2024-08-01,2024-07-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4782718446000221,0.4157100893309739
2024-08-01,2024-07-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.18588537740824454,0.16307759168432465
2024-08-01,2024-07-01,REWEIGHT,801160,公用事业,5,4,0.2,0.2,0.14355412504855258,0.12102350374509654
2024-08-01,2024-07-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.1244407618323712,0.10397487266852694
2024-09-01,2024-08-01,ADD,801180,房地产,,2,0,0.2,0,0.049549781838978395
2024-09-01,2024-08-01,ADD,801110,家用电器,,3,0,0.2,0,0.0747644881121793
2024-09-01,2024-08-01,REWEIGHT,801790,非银金融,3,1,0.2,0.2,0.19621394257107794,0.2725313599231622
2024-09-01,2024-08-01,REWEIGHT,801780,银行,1,4,0.2,0.2,0.4157100893309739,0.4771614254753887
2024-09-01,2024-08-01,REWEIGHT,801170,交通运输,5,5,0.2,0.2,0.10397487266852694,0.12599294465029157
2024-10-01,2024-09-01,ADD,801770,通信,,3,0,0.2,0,0.16524674495199113
2024-10-01,2024-09-01,ADD,801720,建筑装饰,,4,0,0.2,0,0.06983394348410658
2024-10-01,2024-09-01,REWEIGHT,801790,非银金融,1,1,0.2,0.2,0.2725313599231622,0.2706324663375467
2024-10-01,2024-09-01,REWEIGHT,801180,房地产,2,2,0.2,0.2,0.049549781838978395,0.04832598017180787
2024-10-01,2024-09-01,REWEIGHT,801780,银行,4,5,0.2,0.2,0.4771614254753887,0.4459608650545478
2024-11-01,2024-10-01,ADD,801200,商贸零售,,5,0,0.2,0,0.062358226076663296
2024-11-01,2024-10-01,REWEIGHT,801790,非银金融,1,1,0.2,0.2,0.2706324663375467,0.45789356848377566
2024-11-01,2024-10-01,REWEIGHT,801720,建筑装饰,4,2,0.2,0.2,0.06983394348410658,0.11832047641330969
2024-11-01,2024-10-01,REWEIGHT,801180,房地产,2,3,0.2,0.2,0.04832598017180787,0.08058425468122517
2024-11-01,2024-10-01,REWEIGHT,801770,通信,3,4,0.2,0.2,0.16524674495199113,0.2808434743450261
2024-12-01,2024-11-01,ADD,801780,银行,,4,0,0.2,0,0.4710323709998991
2024-12-01,2024-11-01,REWEIGHT,801790,非银金融,1,1,0.2,0.2,0.45789356848377566,0.25379633319896217
2024-12-01,2024-11-01,REWEIGHT,801720,建筑装饰,2,2,0.2,0.2,0.11832047641330969,0.06589665800237987
2024-12-01,2024-11-01,REWEIGHT,801770,通信,4,3,0.2,0.2,0.2808434743450261,0.17375853788699613
2024-12-01,2024-11-01,REWEIGHT,801200,商贸零售,5,5,0.2,0.2,0.062358226076663296,0.03551609991176272
2025-01-01,2024-12-01,ADD,801040,钢铁,,4,0,0.2,0,0.03735469228524266
2025-01-01,2024-12-01,REWEIGHT,801780,银行,4,1,0.2,0.2,0.4710323709998991,0.6150209099680718
2025-01-01,2024-12-01,REWEIGHT,801770,通信,3,2,0.2,0.2,0.17375853788699613,0.22267267695659862
2025-01-01,2024-12-01,REWEIGHT,801200,商贸零售,5,3,0.2,0.2,0.03551609991176272,0.0434546133080562
2025-01-01,2024-12-01,REWEIGHT,801720,建筑装饰,2,5,0.2,0.2,0.06589665800237987,0.08149710748203076
2025-02-01,2025-01-01,ADD,801110,家用电器,,4,0,0.2,0,0.07594588614494166
2025-02-01,2025-01-01,ADD,801880,汽车,,5,0,0.2,0,0.1800273910443193
2025-02-01,2025-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.6150209099680718,0.5186306700595892
2025-02-01,2025-01-01,REWEIGHT,801040,钢铁,4,2,0.2,0.2,0.03735469228524266,0.033821637550680864
2025-02-01,2025-01-01,REWEIGHT,801770,通信,2,3,0.2,0.2,0.22267267695659862,0.1915744152004689
2025-03-01,2025-02-01,ADD,801050,有色金属,,3,0,0.2,0,0.13098018051180033
